FOSSIL,AFFINITIES,Age Max,Age Min,Period,Region,Locality,FORMATION,Structure,Specimen,Collection,REFERENCE
Natalipteris_widei,Core_tree_ferns,113,90,Albian-Turonian,South Africa,"Hluhluwe District, Natal",Mzinene Fm.,Stem,"SM.B 20635 (holotype), SM.B 20633",Paleobotanical Collection of the Forschungsinstitut Senckenberg ,Vera_Herbst-2015
Nishidacaulis_burgii,Cibotiaceae,41,28,Upper Eocene-Lower Oligocene,North America,"Northwestern Nebraska, southeast of Ardmore ",Chadron Fm.,Stem,5101 (holotype),Brigham Young University,Tidwell_Nishida-1993
Oguracaulis_banksii,Thyrsopteridaceae,163,100,Late Jurassic-Early Cretaceous,Tasmania,Ida Bay,,Stem,"Z2286 (holotype), 3258 (paratype)",Tasmanian Museum and Art Gallery; Brigham Young University (paratype),Tidwell_etal-1989
Oncopteris_nettwallii,Cyatheales,100,93,Cenomanian,Europe,Kounice,Peruc-Korycany Fm.,Stem,NMP F1514 ,"National Museum, Prague",Gregus_etal-2013
Paracyathocaulis_ogurae,Cyatheaceae,93.6,85.8,Turonian-Coniacian,Japan,"Komanosawa, Nakagawa-machi, Teshio Province","Saku Fm., middle Yezo Group",Stem,30450 (holotype),"Nakagawa-machi Municipal Museum; Institute of Geosciences, Tsukuba University",Nishida-1989
Protocyathea_cretaceae,Cyatheales,89,66,Senonian,Europe,"Westphalia, Germany",,Stem,Text figure 5,,cf. Jacob-1937
Protocyathea_cyatheoides,Cyatheales,140,129,Neocomian,Europe,"Ischl, Austria",,Stem,Text figure 3,,cf. Jacob-1937
Protocyathea_rajmahalense,Cyatheales,163.5,145,Upper Jurassic ?,India,"Sakrigali, Behar",Rajmahal series,Stem,E 188-191,Museum of the Geological Survey of India,Jacob-1937
Protopteris_maletinensis,Cyatheales,100,93,Cenomanian,Europe,Starý Maletín,,Stem,NHMW 1878B/0006/7141,"Naturhistorisches Museum, Wien",Gregus_etal-2013
Protopteris_punctata,Cyatheales,100,93,Cenomanian,Europe,Kounice,Peruc-Korycany Fm.,Stem,NMP F1471,"National Museum, Prague",Gregus_etal-2013
Protopteris_singeri,Cyatheales,100,93,Late Cretacous,Europe,"Żeliszów (Giersdorf), Poland",,Stem,MGUWr 2885b.p,"Muzeum Geologiczne Uniwersytetu Wrocławskiego, Wrocław",Gregus_etal-2013
Rafaherbstia_nishidai,Cyatheales,125,113,Aptian,Antartica,"Rotch Dome, Byers Peninsula, South Shetland Islands",Cerro Negro Fm.,Stem,BA Pb 143993 (BA Pb Pm 609-615) (Holotype),"Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",Vera_Cesari-2018
Rickwoodopteris_hirsuta,Cibotiaceae,83,72,Campanian,British Columbia,"Shelter Point, Vancouver Island",Spray Fm.,Stem,2002.9.1 (holotype),"Courtenay and District Museum and Archives, Courtenay BC",Stockey_Rothwell-2004
Sergioa austrina,Lophosoriaceae,125,113,Aptian,Antartica,South Shetland Islands,Cerro Negro Fm.,Fertile foliage,BAPb 13382 a–b (holotype),"Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",Cesari-2006
Sphaeropteris/Trichipteris_Graham,Cyathea,13.8,5.3,Upper Miocene,Mexico,Coatzacoalcos,Paraje Solo Fm.,Spores,"Slide 10-1, England Slide finder coordinates C-45",,Graham (1979)
Thyrsopteris_cretaceae,Thyrsopteridaceae,100.5,93,Albian-Cenomanian,Myanmar,"Noije Bum Village, Tanaing Township",Myanmar amber (Burmite),Fertile foliage,PB22936,"Nanjing Institute of Geology and Paleontology, Chinese Academy of Sciences",Li_etal-2019b
Thyrsopterorachis mesozoica,Thyrsopteridaceae,89.6,66,Upper Cretaceous (Senonian),Japan,"Oh-Yubari, Yubari City, Hokkaido",Upper Ezo Group,Stem,"73221, Laboratory of Phylogenetic Botany, Chiba University ",,Nishida_Nishida-1979
Yavanna chimaerica ,Cyatheales,125,113,Aptian,Antartica,"Rotch Dome, Byers Peninsula, South Shetland Islands",Cerro Negro Fm.,Stem,BA Pb 14981 (BA Pb Pm 597–607) (holotype),"Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",Vera-2013
